label,message
spam,"Congratulations! You have won a free iPhone. Click here to claim your prize."
ham,"Hi Divya, please send me the project report by tomorrow."
spam,"URGENT! You have won $1000. Click the link now to receive your money."
ham,"Your meeting is scheduled for 10 AM tomorrow."
spam,"You are selected for a cash prize. Send your bank details to claim."
ham,"Please find the assignment attached to this email."
spam,"FREE vacation offer! Call now and claim your free ticket."
ham,"Can we schedule a meeting for Monday afternoon?"
spam,"Congratulations! You are the lucky winner of our lottery."
ham,"Thank you for submitting the project. We will review it soon."
spam,"Act now! Limited time offer. Get your FREE gift today."
ham,"Your interview has been scheduled for tomorrow at 11 AM."
spam,"You have been selected for a $5000 reward. Click here immediately."
ham,"Please update me when you complete the task."
spam,"WINNER! Claim your cash prize before the offer expires."
ham,"The team meeting has been moved to 3 PM."
spam,"Get rich quickly! Send your details to receive the reward."
ham,"Please review the attached document and share your feedback."
spam,"You won a brand new car! Click now to claim your prize."
ham,"Your password reset request has been received."
